Date,CVX,UNH,XOM
2021-11-02,113.830002,452.040009,64.82
2021-11-03,113.010002,457.329987,63.93
2021-11-04,113.510002,456.76001,64.410004
2021-11-05,114.739998,455.809998,65.019997
2021-11-08,115.150002,462.619995,65.720001
2021-11-09,116.0,464.350006,66.360001
2021-11-10,114.150002,459.899994,64.190002
2021-11-11,114.160004,457.390015,64.309998
2021-11-12,114.230003,458.98999,63.82
2021-11-15,116.82,450.799988,64.370003
2021-11-16,117.279999,449.619995,65.019997
2021-11-17,115.419998,448.950012,64.309998
2021-11-18,114.449997,449.470001,63.610001
2021-11-19,111.910004,440.0,60.669998
2021-11-22,113.910004,437.540009,61.509998
2021-11-23,116.300003,447.130005,63.130001
2021-11-24,117.190002,450.160004,63.48
2021-11-26,114.510002,439.910004,61.25
2021-11-29,114.849998,452.0,61.59
2021-11-30,112.870003,444.220001,59.84
2021-12-01,112.099998,444.339996,59.790001
2021-12-02,115.139999,446.019989,61.279999
2021-12-03,114.410004,449.320007,60.889999
2021-12-06,116.199997,460.109985,61.580002
2021-12-07,117.919998,464.730011,62.27
2021-12-08,118.449997,468.859985,62.450001
2021-12-09,118.139999,473.320007,62.610001
2021-12-10,118.339996,478.230011,63.009998
2021-12-13,115.879997,478.140015,61.630001
2021-12-14,116.220001,479.459991,61.540001
2021-12-15,115.559998,494.380005,61.27
2021-12-16,116.639999,492.859985,61.369999
2021-12-17,113.599998,487.119995,60.029999
2021-12-20,113.650002,483.730011,59.16
2021-12-21,115.470001,487.209991,60.5
2021-12-22,116.129997,494.130005,60.990002
2021-12-23,116.410004,495.380005,61.02
2021-12-27,118.790001,499.5,61.889999
2021-12-28,118.559998,502.940002,61.689999
2021-12-29,117.949997,505.579987,61.150002
2021-12-30,117.43,504.429993,60.790001
2021-12-31,117.349998,502.140015,61.189999
2022-01-03,119.260002,502.279999,63.540001
2022-01-04,121.43,490.899994,65.93
2022-01-05,122.220001,489.690002,66.75
2022-01-06,123.260002,469.649994,68.32
2022-01-07,125.029999,458.600006,68.879997
2022-01-10,125.110001,465.0,68.470001
2022-01-11,127.970001,469.0,71.349998
2022-01-12,127.330002,473.720001,71.139999
2022-01-13,126.800003,467.429993,70.629997
2022-01-14,128.960007,468.690002,71.870003
2022-01-18,129.380005,460.98999,73.080002
2022-01-19,128.910004,462.519989,73.110001
2022-01-20,128.449997,463.0,73.269997
2022-01-21,126.910004,461.170013,72.169998
2022-01-24,127.18,462.269989,72.790001
2022-01-25,132.589996,456.839996,74.93
2022-01-26,132.690002,458.429993,74.169998
2022-01-27,135.369995,461.600006,75.120003
2022-01-28,130.610001,466.059998,75.279999
2022-01-31,131.330002,472.570007,75.959999
2022-02-01,134.789993,468.410004,80.830002
2022-02-02,135.410004,479.779999,80.620003
2022-02-03,134.199997,488.769989,79.68
2022-02-04,135.880005,483.170013,81.410004
2022-02-07,138.550003,483.700012,82.389999
2022-02-08,136.440002,493.410004,80.260002
2022-02-09,137.789993,498.100006,79.0
2022-02-10,136.039993,486.720001,78.239998
2022-02-11,138.809998,478.130005,80.209999
2022-02-14,136.669998,474.399994,78.980003
2022-02-15,134.259995,478.230011,77.989998
2022-02-16,134.300003,480.049988,78.349998
2022-02-17,133.610001,470.339996,78.230003
2022-02-18,133.419998,467.809998,77.360001
2022-02-22,132.399994,462.51001,76.459999
2022-02-23,135.550003,459.619995,76.769997
2022-02-24,134.850006,455.890015,75.800003
2022-02-25,140.380005,475.75,77.839996
2022-02-28,144.0,475.869995,78.419998
2022-03-01,149.720001,476.25,79.169998
2022-03-02,154.139999,485.380005,80.529999
2022-03-03,156.220001,486.589996,81.040001
2022-03-04,158.649994,498.649994,84.089996
2022-03-07,162.039993,486.869995,87.120003
2022-03-08,170.529999,473.459991,87.779999
2022-03-09,166.270004,485.570007,82.790001
2022-03-10,170.820007,491.440002,85.360001
2022-03-11,170.899994,482.869995,84.919998
2022-03-14,166.720001,487.920013,81.879997
2022-03-15,158.279999,497.910004,77.220001
2022-03-16,157.710007,498.26001,76.93
2022-03-17,160.440002,507.019989,78.980003
2022-03-18,161.729996,506.119995,78.669998
2022-03-21,164.639999,507.660004,82.199997
2022-03-22,164.089996,505.320007,81.839996
2022-03-23,165.860001,503.230011,83.129997
2022-03-24,166.300003,513.460022,83.379997
2022-03-25,169.309998,513.030029,85.199997
2022-03-28,166.350006,513.200012,82.809998
2022-03-29,164.320007,510.730011,82.370003
2022-03-30,165.479996,520.820007,83.779999
2022-03-31,162.830002,509.970001,82.589996
2022-04-01,164.220001,512.590027,83.120003
2022-04-04,164.369995,510.019989,83.160004
2022-04-05,163.360001,517.76001,82.730003
2022-04-06,164.809998,531.75,83.650002
2022-04-07,167.100006,536.950012,85.050003
2022-04-08,169.929993,545.960022,86.839996
2022-04-11,165.559998,537.440002,83.849998
2022-04-12,169.009995,533.710022,85.599998
2022-04-13,171.669998,537.0,86.809998
2022-04-14,171.589996,534.820007,87.830002
2022-04-18,173.889999,534.080017,88.550003
2022-04-19,171.830002,537.700012,87.760002
2022-04-20,172.529999,546.01001,87.959999
2022-04-21,164.580002,537.440002,87.029999
2022-04-22,160.949997,520.940002,85.129997
2022-04-25,157.490005,524.27002,82.260002
2022-04-26,156.529999,513.780029,82.290001
2022-04-27,156.240005,513.809998,84.639999
2022-04-28,161.789993,524.419983,87.199997
2022-04-29,156.669998,508.549988,85.25
2022-05-02,159.75,501.149994,86.410004
2022-05-03,162.490005,499.619995,88.190002
2022-05-04,167.589996,507.619995,91.699997
2022-05-05,166.259995,494.720001,90.309998
2022-05-06,170.690002,499.619995,91.690002
2022-05-09,159.25,486.420013,84.459999
2022-05-10,160.779999,488.01001,85.019997
2022-05-11,163.160004,486.149994,86.790001
2022-05-12,164.710007,478.799988,86.300003
2022-05-13,167.869995,485.399994,88.860001
2022-05-16,173.009995,489.220001,90.949997
2022-05-17,174.029999,492.529999,92.110001
2022-05-18,168.059998,471.380005,90.650002
2022-05-19,166.860001,478.549988,91.139999
2022-05-20,167.820007,485.730011,91.860001
2022-05-23,171.720001,492.079987,93.889999
2022-05-24,172.639999,497.559998,94.400002
2022-05-25,175.410004,498.089996,96.300003
2022-05-26,176.589996,502.230011,96.639999
2022-05-27,178.279999,507.109985,97.589996
2022-05-31,174.660004,496.779999,96.0
2022-06-01,176.320007,492.549988,97.839996
2022-06-02,176.0,492.26001,97.669998
2022-06-03,177.600006,485.609985,99.089996
2022-06-06,176.830002,490.179993,98.839996
2022-06-07,180.199997,497.100006,103.370003
2022-06-08,181.130005,493.529999,104.589996
2022-06-09,177.520004,489.429993,102.330002
2022-06-10,175.399994,484.630005,100.459999
2022-06-13,167.330002,469.700012,95.849998
2022-06-14,167.550003,461.75,96.099998
2022-06-15,164.259995,464.329987,94.889999
2022-06-16,155.479996,456.089996,91.389999
2022-06-17,148.380005,452.059998,86.120003
